20200320,1.0,0.993452799585725,1.406
20200619,1.0,0.9887887289662254,1.366
20200918,1.0,0.9845581480478041,1.339
20201218,1.0,0.9801251516025818,1.58
20210319,1.0,0.9767527116021302,1.278
20210618,1.0,0.9733670992969589,1.376
20210917,1.0,0.9700862826410257,1.428
20211217,1.0,0.9665098686542314,1.633
20220318,1.0,0.9634358612995775,1.366
20220617,1.0,0.9591562251561012,1.577
20220916,1.0,0.9550813239648405,1.596
20221216,1.0,0.9505471663984015,1.781
20230317,1.0,0.9468113289852252,1.506
20230616,1.0,0.9432329152477295,1.638
20230915,1.0,0.9398301114381116,1.583
20231215,1.0,0.9359891490112596,1.906
20240315,1.0,0.9330514659371449,1.595
20240621,1.0,0.9300373110104249,1.759
